Cód. Parceiro;Qty;Prazo Cross Dock
43az-pt;0;12
43vd-cz;0;12
43vm-cz;0;12
41pt;0;12
41vd-pt;0;12
41rs-cz;0;12
39pt-cz;0;12
29am-cz;0;12
29az-cz;0;12
29vd-pt;0;12
29pt-cz;0;12
1207cz-pt;0;12
1207cz-az;0;12
1405pt;0;12
21pt;0;12
18pt;0;12
18vd-pt;0;12
18cz-pt;0;12
17vd-pt;0;12
1310pt-cz;0;12
1401pt;0;12
3121pt;0;12
049163MARROM;0;10
0100az;0;12
0100mr;0;12
0100pt;0;12
0100vd;0;12
0110pt-cz;0;12
0110vd-pt;0;12
0110vm-pt;0;12
0112pt;0;12
0112vd-pt;0;12
0112vm;0;12
0114pt-cz;0;12
0114az-mr;0;12
0114vd-pt;0;12
0114cz-vm;0;12
0116pt-cz;0;12
0116az-cz;0;12
0116vm-pt;0;12
1450pt;0;12
1450az;0;12
110100000731;0;12
38az-mr;0;12
3124;0;12
110220014133;0;12
110220014817;0;12
110330001412;0;12
110330001415;0;12
110330001683;0;12
110330001684;0;12
110330002193;0;12
110330002194;0;12
110330002196;0;12
110330002197;0;12
110130000733;0;12
110162500763;0;12
110106278763;0;12
110130000735;0;12
110130001138;0;12
110121400460;0;12
110169000581;0;12
110120016444;3;2
110120016527;0;12
110120016506;0;12
110120016524;0;12
110220006822;0;12
110120003050;0;12
110120013751;0;12
110120013745;0;12
110120013746;0;12
110130000187;0;12
110130000938;0;12
110120019738;0;12
373751;18;12
329125NS;173;12
359800;0;12
329165;0;12
40031;0;12
40032;0;12
38vd-pt;0;12
049130PRETO;0;10
049131VERDE;0;10
049129PRETO;27;10
049003LARANJA;0;10
049015VERDE;0;10
049001UNICA;0;10
049263UNICA;64;10
049264UNICA;79;10
049058PRETO;0;10
049072UNICA;0;10
049071UNICA;0;10
049070UNICA;100;10
049093MARROM;100;10
049096VERDE;92;10
Z34009801;0;2
6033;0;12
118vd;0;12
118pt;0;12
4145GRM;0;12
4145GRG;0;2
4145GRGG;0;12
4145PTM;0;12
4145PTG;0;12
4100PTCZP;0;12
4100PTCZM;0;12
4100PTCZG;0;12
4100PTVDP;0;12
4100PTVDM;0;12
4100VDPTG;0;12
4133PTCZP;0;12
4133PTCZM;0;12
4133PTCZG;0;12
4133PTCZGG;0;12
4201BGPTP;0;12
